Artikelnummer;Name;Einheit;Bestand;"Bestand aktiviert";Umsatzsteuer;Einkaufspreis;Verkaufspreis;Kategorie;Beschreibung
1188;"SAX Power Home Plus 7,7kWh inkl. Schwarzst.";Stk;0,00;1;20,00;2.812,00;3.820,00;Standard;
1187;"FERNWARTUNG der PV Anlage";Stk;0,00;1;20,00;0,00;0,00;Standard;"Unsere Experten führen regelmäßige Analysen durch, um die Effizienz Ihrer Anlage zu bewerten. Hierzu gehören auch automatisierte Software-Updates und ggf. die Anpassung von Einstellungen, um die optimale Leistung sicherzustellen."
1186;"AIKO-GLAS-GLAS NEOSTAR FULL BLACK 475 WP";Stk;0,00;1;20,00;73,00;99,00;Module;"✔ Optimierung bei Teilverschattung & besserer Temperaturkoeffizient ✔ Geringere Zelltemperatur bei Verschattung & Widerstandsfähigkeit gegen Mikrorisse ✔ Höhere Leistung & niedrigere BOS ✔ Mehr ästhetische Werte & Infinite-Technologie ✔ 30 Jahre Leistungsgarantie"
1185;"SIGENERGY Batteriemodul 6.0";Stk;0,00;1;20,00;0,00;3.145,00;Standard;"Dieses Batteriesystem bietet hohe Zellkapazität und lange Lebensdauer bei geringer Spannung. Ein umfassendes Sicherheitskonzept schützt die Batterie, deren Zustand bequem über die mySigen-App überwacht werden kann. Die einfache Installation wird durch Steckverbinder gewährleistet, während KI-Technologie die Batterielaufzeit optimiert. Dank der Möglichkeit zu parallelen Verbindungen lassen sich verschiedene Batteriekonfigurationen realisieren, was Flexibilität in der Anwendung garantiert. • Abmessungen: 260 × 767 × 270 mm (H x B x T) • Nettospeicherkapazität: 5,84 kWh • Gewicht: 61,50 kg"
1184;"SIGENERGY Battery Controller BC inkl. Bodenmontageset";Stk;0,00;1;0,00;0,00;990,00;SigEnergy;"Zwingend erforderlich für den sicheren Betrieb & die Erweiterbarkeit des Gesamtsystems."
1183;"SIGENERGY Hybrid Wechselrichter 12.0 kW TP2 dreiphasig";Stk;0,00;1;20,00;0,00;2.090,00;SigEnergy;"Modernster Hybridinverter – battery-ready & KI-fähig. • Dreiphasig • Kann sofort oder später mit Speicher betrieben werden • Kompatibel mit Sigenergy SigenStor Batteriesystemen • Hohe Effizienz & smarte Steuerung • bis zu 15 Jahre Garantielaufzeit"
1182;"SIGENERGY Hybrid Wechselrichter 10.0 kW TP2 dreiphasig";Stk;0,00;1;20,00;0,00;1.990,00;SigEnergy;"Modernster Hybridinverter – battery-ready & KI-fähig. • Dreiphasig • Kann sofort oder später mit Speicher betrieben werden • Kompatibel mit Sigenergy SigenStor Batteriesystemen • Hohe Effizienz & smarte Steuerung • bis zu 15 Jahre Garantielaufzeit"
1181;"SIGENERGY Hybrid Wechselrichter 8.0 kW TP2 dreiphasig";Stk;0,00;1;20,00;0,00;1.890,00;SigEnergy;"Modernster Hybridinverter – battery-ready & KI-fähig. • Dreiphasig • Kann sofort oder später mit Speicher betrieben werden • Kompatibel mit Sigenergy SigenStor Batteriesystemen • Hohe Effizienz & smarte Steuerung • bis zu 15 Jahre Garantielaufzeit"
1180;"SIGENERGY Hybrid Wechselrichter 6.0 kW TP2 dreiphasig";Stk;0,00;1;20,00;0,00;1.790,00;SigEnergy;"Modernster Hybridinverter – battery-ready & KI-fähig. • Dreiphasig • Kann sofort oder später mit Speicher betrieben werden • Kompatibel mit Sigenergy SigenStor Batteriesystemen • Hohe Effizienz & smarte Steuerung • bis zu 15 Jahre Garantielaufzeit"
1179;"SIGENERGY Hybrid Wechselrichter 5.0 kW TP2 dreiphasig";Stk;0,00;1;20,00;0,00;1.690,00;SigEnergy;"Modernster Hybridinverter – battery-ready & KI-fähig. • Dreiphasig • Kann sofort oder später mit Speicher betrieben werden • Kompatibel mit Sigenergy SigenStor Batteriesystemen • Hohe Effizienz & smarte Steuerung • bis zu 15 Jahre Garantielaufzeit"
